series,Series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
SE.PRM.ENRR,"School enrollment, primary (% gross)",117.281173706055,117.307037353516,117.299240112305,114.676582336426,115.667877197266,114.744766235352,116.316131591797,117.350616455078,118.43701171875,118.401557922363,118.234718322754,117.463752746582,116.51634979248,114.509239196777,113.961883544922,113.778198242188,112.944267272949,111.681457519531,111.545608520508,111.36531829834,110.617813110352,110.156112670898,108.722412109375
SE.SEC.ENRR,"School enrollment, secondary (% gross)",96.6217880249023,98.0622406005859,97.468132019043,96.5058364868164,95.9976196289062,94.1866607666016,92.9617309570312,92.6104202270508,93.5038223266602,96.6370162963867,99.2300033569336,100.993843078613,102.782302856445,104.596748352051,106.092132568359,107.549072265625,109.645942687988,110.412406921387,109.696998596191,110.498527526855,112.416679382324,116.559448242188,115.434867858887
SE.TER.ENRR,"School enrollment, tertiary (% gross)",54.3332710266113,58.791690826416,62.0592613220215,64.4024505615234,64.8878479003906,63.732349395752,67.1185913085938,66.9094467163086,68.816291809082,71.0374603271484,74.1875305175781,77.4296112060547,78.4559097290039,78.7686614990234,81.1694107055664,83.762580871582,86.6178817749023,89.2329406738281,90.9728317260742,95.0775527954102,99.266227722168,107.130661010742,107.047912597656
