series,Series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
SE.PRM.ENRR,"School enrollment, primary (% gross)",100.551040649414,103.11058807373,105.398719787598,103.50048828125,103.385231018066,102.988227844238,102.693328857422,104.312240600586,101.424911499023,101.624313354492,101.07022857666,100.89427947998,101.07137298584,101.631439208984,100.504531860352,99.7375183105469,96.8556365966797,94.0880584716797,95.4673912354309,,,,
SE.SEC.ENRR,"School enrollment, secondary (% gross)",59.6101112365723,63.7311592102051,67.7687377929688,68.9142303466797,71.5432586669922,73.8731918334961,76.3974304199219,78.7636871337891,80.4674301147461,81.3888778686523,81.3296966552734,82.2678070068359,84.3391876220703,91.7803802490234,91.0872268676758,89.0915222167969,85.3960266113281,84.1052017211914,,,,,
SE.TER.ENRR,"School enrollment, tertiary (% gross)",27.9836292266846,,37.8175811767578,39.5479507446289,41.5587882995605,,,,78.7609786987305,78.7361907958984,,,,,,,,,,,,,
