series,Series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
SE.PRM.ENRR,"School enrollment, primary (% gross)",101.363563537598,,101.286972045898,101.061790466309,105.627876281738,105.35050201416,105.66822052002,106.517280578613,106.873870849609,105.763893127441,103.219367980957,103.170486450195,103.369781494141,102.084899902344,101.930870056152,101.712509155273,101.585189819336,101.396278381348,101.538017272949,101.193206787109,99.7043991088867,99.3652267456055,100.192268371582
SE.SEC.ENRR,"School enrollment, secondary (% gross)",86.9013595581055,,89.4216384887695,90.6209564208984,91.0151062011719,92.0045623779297,91.9973297119141,91.5507965087891,91.5420074462891,89.8597564697266,90.99951171875,90.9826202392578,89.5031433105469,99.1520767211914,99.8654403686523,100.921676635742,101.488136291504,102.294822692871,103.173049926758,104.405769348145,103.691688537598,106.673522949219,106.068328857422
SE.TER.ENRR,"School enrollment, tertiary (% gross)",35.4313201904297,,40.2664985656738,43.5181999206543,44.3284606933594,50.2735595703125,49.3216896057129,54.7230491638184,56.7743988037109,59.9912910461426,66.3445205688477,70.8241806030273,75.0770721435547,79.8703384399414,83.6629791259766,86.4181137084961,88.8458862304688,89.921989440918,91.1974792480469,92.0659713745117,89.1124877929688,96.2227935791016,99.3372802734375
