series,Series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
SE.PRM.ENRR,"School enrollment, primary (% gross)",,,,,,,,,,,,,104.7822265625,109.945137023926,110.316459655762,109.152183532715,108.757843017578,109.80850982666,108.623291015625,107.407470703125,105.498199462891,103.4716796875,103.970321655273
SE.SEC.ENRR,"School enrollment, secondary (% gross)",,,,,,,,,,,,,94.3209762573242,103.917678833008,102.635528564453,100.920516967773,102.569511413574,103.015960693359,105.00707244873,103.953277587891,104.125999450684,106.651901245117,106.031188964844
SE.TER.ENRR,"School enrollment, tertiary (% gross)",,,,,,,,,,,,,43.2308502197266,44.3393707275391,47.1568717956543,48.4340400695801,48.3333396911621,50.0267486572266,51.1916885375977,52.6240615844727,54.5727996826172,56.8306198120117,60.3906211853027
